round,accuracy,loss
0,0.026753,2.863550
1,0.454797,1.820195
2,0.476015,2.045582
3,0.488930,1.941630
4,0.544280,1.635143
5,0.510148,1.948120
6,0.521218,1.834341
7,0.564576,1.542660
8,0.543358,1.790226
9,0.536900,1.892750
10,0.452952,2.064432
11,0.518450,1.934579
12,0.566421,1.594531
13,0.528598,1.608162
14,0.581181,1.502431
15,0.535055,1.608112
16,0.468635,1.897373
17,0.495387,1.717808
18,0.552583,1.451526
19,0.443727,1.825797
20,0.440037,1.878484
21,0.458487,1.897668
22,0.581181,1.472871
23,0.564576,1.606654
24,0.574723,1.551947
25,0.594096,1.422443
26,0.585793,1.404531
27,0.490775,1.587486
28,0.484317,1.580160
29,0.502768,1.547547
30,0.488930,1.778107
31,0.476937,1.983229
32,0.519373,1.524722
33,0.589483,1.278458
34,0.554428,1.348807
35,0.556273,1.427695
36,0.612546,1.268083
37,0.583026,1.428854
38,0.534133,1.451308
39,0.547970,1.368268
40,0.482472,1.559236
41,0.445572,2.103447
42,0.451107,2.234035
43,0.456642,2.047066
44,0.555351,1.384764
45,0.480627,1.598968
46,0.523985,1.362110
47,0.587638,1.313190
48,0.607934,1.270835
49,0.581181,1.301834
50,0.629151,1.138969
51,0.628229,1.112780
52,0.615314,1.113934
53,0.600554,1.280311
54,0.568266,1.357237
55,0.582103,1.297353
56,0.621771,1.157875
57,0.612546,1.174640
58,0.599631,1.214115
59,0.608856,1.287656
60,0.523063,1.464476
61,0.607934,1.208152
62,0.613469,1.298182
63,0.586716,1.401604
64,0.497232,1.636594
65,0.571956,1.358325
66,0.534133,1.445379
67,0.574723,1.391208
68,0.574723,1.421279
69,0.483395,1.709061
70,0.520295,1.539898
71,0.553506,1.419399
72,0.603321,1.373415
73,0.605166,1.307239
74,0.609779,1.298685
75,0.563653,1.396901
76,0.610701,1.327094
77,0.612546,1.271247
78,0.624539,1.242455
79,0.607934,1.222861
80,0.580258,1.272473
81,0.589483,1.335193
82,0.590406,1.271556
83,0.608856,1.234428
84,0.578413,1.232766
85,0.597786,1.289453
86,0.589483,1.294921
87,0.595941,1.296082
88,0.593173,1.336000
89,0.557196,1.413968
90,0.573801,1.351868
91,0.588561,1.273406
92,0.578413,1.260157
93,0.511993,1.445894
94,0.608856,1.288125
95,0.603321,1.223729
96,0.608856,1.174751
97,0.609779,1.216810
98,0.605166,1.253507
99,0.611624,1.213155
100,0.619004,1.221304
101,0.604244,1.335463
102,0.596863,1.336528
103,0.608856,1.370111
104,0.583026,1.457813
105,0.551661,1.601880
106,0.599631,1.413011
107,0.611624,1.294000
108,0.586716,1.277311
109,0.578413,1.391365
110,0.572878,1.332298
111,0.606089,1.219892
112,0.457565,1.955615
113,0.500000,1.448246
114,0.497232,1.448095
115,0.558118,1.350349
116,0.555351,1.318040
117,0.470480,1.629788
118,0.470480,1.653901
119,0.472325,1.669741
120,0.593173,1.252860
121,0.581181,1.207921
122,0.604244,1.139087
123,0.512915,1.358127
124,0.488930,1.453797
125,0.514760,1.353803
126,0.598708,1.216550
127,0.559963,1.417158
128,0.562731,1.329976
129,0.632841,1.153827
130,0.579336,1.243395
131,0.602399,1.175276
132,0.628229,1.195045
133,0.613469,1.221887
134,0.542435,1.465333
135,0.546125,1.368172
136,0.558118,1.444874
137,0.432657,1.940999
138,0.438192,1.820442
139,0.462177,1.617897
140,0.605166,1.181641
141,0.461255,1.791437
142,0.473247,1.704207
143,0.587638,1.264688
144,0.579336,1.368201
145,0.584871,1.310298
146,0.582103,1.429479
147,0.583948,1.340862
148,0.567343,1.460998
149,0.510148,1.530790
150,0.498155,1.556315
151,0.572878,1.442045
152,0.569188,1.544991
153,0.565498,1.589483
154,0.563653,1.670515
155,0.454797,2.076107
156,0.403137,2.719135
157,0.462177,1.830921
158,0.444649,1.861303
159,0.553506,1.617973
160,0.578413,1.394923
161,0.557196,1.353179
162,0.561808,1.529185
163,0.584871,1.328260
164,0.585793,1.277539
165,0.580258,1.274799
166,0.594096,1.180987
167,0.471402,1.462516
168,0.437269,1.945733
169,0.455720,1.736243
170,0.486162,1.475010
171,0.593173,1.274031
172,0.585793,1.206880
173,0.619004,1.121544
174,0.512915,1.482489
175,0.595018,1.234184
176,0.601476,1.224576
177,0.584871,1.363358
178,0.595941,1.265699
179,0.597786,1.241425
180,0.609779,1.234034
181,0.531365,1.536962
182,0.445572,1.868087
183,0.564576,1.496497
184,0.503690,1.548124
185,0.440959,2.320648
186,0.449262,2.167237
187,0.465867,1.970265
188,0.570111,1.352937
189,0.605166,1.243924
190,0.593173,1.353883
191,0.596863,1.294517
192,0.574723,1.446204
193,0.599631,1.363455
194,0.513838,1.615130
195,0.570111,1.389429
196,0.513838,1.602007
197,0.584871,1.382138
198,0.575646,1.369539
199,0.550738,1.420241
200,0.606089,1.268422
