round,accuracy,loss
0,0.098137,2.314644
1,0.509317,1.914199
2,0.623602,1.122139
3,0.627329,1.102900
4,0.673292,0.970478
5,0.675776,0.962514
6,0.681988,0.952193
7,0.680745,0.944251
8,0.680745,0.931084
9,0.704348,0.866877
10,0.704348,0.863263
11,0.725466,0.817941
12,0.739130,0.785822
13,0.746584,0.761516
14,0.749068,0.760129
15,0.762733,0.739912
16,0.757764,0.737285
17,0.757764,0.736254
18,0.759006,0.734986
19,0.760248,0.733636
20,0.757764,0.732423
21,0.756522,0.731317
22,0.755280,0.730491
23,0.768944,0.711855
24,0.776398,0.710032
25,0.782609,0.694834
26,0.783851,0.694376
27,0.787578,0.681766
28,0.783851,0.680095
29,0.783851,0.679375
30,0.786335,0.677855
31,0.793789,0.668911
32,0.796273,0.661009
33,0.800000,0.654657
34,0.802484,0.648740
35,0.797516,0.648694
36,0.803727,0.647312
37,0.793789,0.647498
38,0.808696,0.640357
39,0.809938,0.635815
40,0.804969,0.635850
41,0.802484,0.635445
42,0.804969,0.634185
43,0.814907,0.629799
44,0.806211,0.629859
45,0.807453,0.629618
46,0.821118,0.624753
47,0.819876,0.624382
48,0.809938,0.624726
49,0.813665,0.620918
50,0.813665,0.621446
51,0.804969,0.621455
52,0.819876,0.617229
53,0.813665,0.618011
54,0.812422,0.617643
55,0.812422,0.616996
56,0.812422,0.616180
57,0.811180,0.616418
58,0.811180,0.615925
59,0.821118,0.612400
60,0.821118,0.612409
61,0.821118,0.610645
62,0.817391,0.609854
63,0.818634,0.610080
64,0.816149,0.610197
65,0.813665,0.609580
66,0.814907,0.609807
67,0.819876,0.607492
68,0.823602,0.606338
69,0.826087,0.605255
70,0.823602,0.604977
71,0.826087,0.604068
72,0.822360,0.603586
73,0.826087,0.602652
74,0.823602,0.602977
75,0.816149,0.602968
76,0.818634,0.603279
77,0.823602,0.601029
78,0.819876,0.601408
79,0.814907,0.602510
80,0.821118,0.600094
81,0.827329,0.599260
82,0.824845,0.598878
83,0.823602,0.598852
84,0.828571,0.598197
85,0.826087,0.598304
86,0.827329,0.597736
87,0.826087,0.597998
88,0.821118,0.598516
89,0.824845,0.597485
90,0.823602,0.597393
91,0.826087,0.596635
92,0.826087,0.596255
93,0.818634,0.596887
94,0.829814,0.596194
95,0.826087,0.596562
96,0.829814,0.595733
97,0.826087,0.595555
98,0.826087,0.595883
99,0.828571,0.595208
100,0.834783,0.594989
101,0.827329,0.594359
102,0.831056,0.593392
103,0.829814,0.594028
104,0.829814,0.593952
105,0.833540,0.593866
106,0.831056,0.593845
107,0.832298,0.593743
108,0.827329,0.593701
109,0.829814,0.593028
110,0.831056,0.592930
111,0.828571,0.593769
112,0.822360,0.594016
113,0.826087,0.593220
114,0.821118,0.593296
115,0.827329,0.593000
116,0.832298,0.592123
117,0.822360,0.592369
118,0.832298,0.592231
119,0.823602,0.592844
120,0.831056,0.592251
121,0.827329,0.591941
122,0.829814,0.592088
123,0.823602,0.593041
124,0.819876,0.594074
125,0.822360,0.593476
126,0.831056,0.591897
127,0.826087,0.592782
128,0.829814,0.592079
129,0.826087,0.592046
130,0.831056,0.590886
131,0.828571,0.590795
132,0.823602,0.591346
133,0.823602,0.591924
134,0.823602,0.592250
135,0.827329,0.590718
136,0.832298,0.590790
137,0.827329,0.591492
138,0.823602,0.591694
139,0.823602,0.592002
140,0.818634,0.592531
141,0.819876,0.591999
142,0.831056,0.590747
143,0.833540,0.591027
144,0.828571,0.591365
145,0.824845,0.592006
146,0.831056,0.590862
147,0.828571,0.591494
148,0.833540,0.590783
149,0.833540,0.590943
150,0.832298,0.590684
151,0.824845,0.590994
152,0.832298,0.590393
153,0.833540,0.590692
154,0.828571,0.591082
155,0.831056,0.591094
156,0.827329,0.591602
157,0.826087,0.591438
158,0.827329,0.590642
159,0.821118,0.591471
160,0.824845,0.591267
161,0.822360,0.591370
162,0.824845,0.591578
163,0.827329,0.590405
164,0.823602,0.591046
165,0.821118,0.591177
166,0.832298,0.589412
167,0.833540,0.589459
168,0.823602,0.590219
169,0.831056,0.589813
170,0.827329,0.590088
171,0.833540,0.589784
172,0.832298,0.590377
173,0.827329,0.590542
174,0.833540,0.590189
175,0.829814,0.590434
176,0.826087,0.590312
177,0.824845,0.590351
178,0.832298,0.589965
179,0.829814,0.590179
180,0.834783,0.590133
181,0.833540,0.590460
182,0.829814,0.590751
183,0.829814,0.591178
184,0.828571,0.591976
185,0.826087,0.591745
186,0.829814,0.590625
187,0.831056,0.590038
188,0.834783,0.589953
189,0.831056,0.590077
190,0.828571,0.590835
191,0.831056,0.589956
192,0.834783,0.590241
193,0.832298,0.590497
194,0.832298,0.590746
195,0.832298,0.591022
196,0.831056,0.590778
197,0.831056,0.590659
198,0.827329,0.590643
199,0.829814,0.590480
200,0.828571,0.590700
