round,accuracy,loss
0,0.070234,2.660541
1,0.248606,2.143560
2,0.325530,2.016286
3,0.348941,1.816145
4,0.357860,1.756310
5,0.360089,1.686601
6,0.360089,1.614457
7,0.580825,1.249167
8,0.602007,1.173729
9,0.632107,1.100006
10,0.609810,1.080773
11,0.651059,1.046548
12,0.642140,1.017961
13,0.638796,1.000366
14,0.623188,0.983428
15,0.638796,0.956752
16,0.687848,0.940009
17,0.677815,0.918287
18,0.672241,0.911203
19,0.657748,0.897438
20,0.657748,0.896198
21,0.653289,0.890957
22,0.664437,0.880444
23,0.696767,0.861679
24,0.702341,0.854661
25,0.707915,0.849151
26,0.705686,0.847116
27,0.706800,0.836987
28,0.701226,0.821693
29,0.701226,0.815733
30,0.697882,0.812967
31,0.692308,0.810674
32,0.703456,0.802746
33,0.705686,0.795973
34,0.692308,0.800581
35,0.712375,0.787417
36,0.710145,0.782889
37,0.711260,0.769250
38,0.707915,0.767375
39,0.717949,0.759719
40,0.729097,0.745728
41,0.725753,0.746610
42,0.726867,0.741179
43,0.730212,0.737849
44,0.733556,0.720429
45,0.744705,0.717960
46,0.740245,0.719217
47,0.733556,0.717774
48,0.745819,0.711885
49,0.750279,0.704793
50,0.745819,0.700158
51,0.751394,0.699930
52,0.752508,0.695372
53,0.744705,0.683990
54,0.751394,0.681462
55,0.755853,0.680053
56,0.759197,0.682176
57,0.756968,0.681413
58,0.753623,0.682053
59,0.754738,0.676821
60,0.750279,0.672990
61,0.753623,0.670852
62,0.749164,0.670115
63,0.743590,0.667365
64,0.749164,0.668150
65,0.746934,0.668395
66,0.754738,0.668197
67,0.760312,0.666875
68,0.751394,0.661936
69,0.758082,0.660714
70,0.755853,0.661350
71,0.759197,0.658273
72,0.755853,0.657223
73,0.760312,0.656786
74,0.761427,0.656099
75,0.760312,0.653679
76,0.758082,0.651347
77,0.759197,0.646290
78,0.756968,0.644617
79,0.749164,0.645585
80,0.744705,0.644907
81,0.754738,0.637150
82,0.755853,0.635252
83,0.759197,0.635080
84,0.760312,0.637359
85,0.761427,0.632164
86,0.763657,0.628614
87,0.765886,0.628268
88,0.764771,0.625321
89,0.762542,0.625671
90,0.764771,0.625793
91,0.769231,0.622105
92,0.765886,0.621813
93,0.765886,0.620631
94,0.772575,0.618046
95,0.777035,0.618835
96,0.777035,0.619544
97,0.777035,0.619359
98,0.773690,0.616534
99,0.772575,0.613162
100,0.773690,0.611113
101,0.777035,0.610608
102,0.772575,0.611913
103,0.772575,0.609825
104,0.773690,0.605729
105,0.777035,0.602858
106,0.773690,0.604439
107,0.782609,0.603563
108,0.782609,0.602156
109,0.779264,0.598819
110,0.775920,0.599712
111,0.774805,0.597595
112,0.787068,0.590951
113,0.788183,0.592947
114,0.792642,0.591278
115,0.791527,0.584879
116,0.789298,0.586121
117,0.789298,0.582734
118,0.785953,0.580420
119,0.787068,0.580901
120,0.784838,0.577823
121,0.783724,0.577317
122,0.780379,0.577779
123,0.782609,0.570370
124,0.781494,0.570457
125,0.783724,0.568907
126,0.787068,0.567299
127,0.787068,0.565351
128,0.785953,0.563166
129,0.781494,0.564150
130,0.787068,0.564324
131,0.787068,0.563033
132,0.787068,0.563487
133,0.792642,0.559128
134,0.790412,0.560118
135,0.790412,0.562290
136,0.790412,0.559926
137,0.787068,0.559943
138,0.792642,0.555502
139,0.791527,0.555171
140,0.790412,0.554839
141,0.793757,0.556989
142,0.789298,0.557740
143,0.791527,0.555128
144,0.790412,0.554127
145,0.787068,0.550968
146,0.788183,0.549108
147,0.789298,0.548483
148,0.790412,0.547166
149,0.795987,0.542627
150,0.797101,0.544813
151,0.797101,0.545538
152,0.795987,0.546370
153,0.793757,0.546063
154,0.793757,0.545064
155,0.791527,0.545486
156,0.793757,0.543999
157,0.797101,0.540720
158,0.808250,0.539580
159,0.800446,0.539919
160,0.801561,0.539685
161,0.801561,0.538431
162,0.801561,0.537351
163,0.802676,0.538754
164,0.801561,0.539574
165,0.807135,0.536014
166,0.804905,0.536460
167,0.804905,0.534850
168,0.806020,0.528687
169,0.807135,0.526236
170,0.807135,0.527030
171,0.808250,0.526337
172,0.808250,0.527201
173,0.807135,0.528187
174,0.807135,0.525570
175,0.804905,0.524566
176,0.803790,0.524753
177,0.806020,0.524914
178,0.803790,0.523616
179,0.809365,0.524958
180,0.807135,0.525594
181,0.807135,0.526438
182,0.802676,0.525950
183,0.804905,0.523215
184,0.803790,0.524208
185,0.808250,0.523614
186,0.809365,0.523587
187,0.808250,0.524193
188,0.810479,0.521620
189,0.807135,0.521911
190,0.806020,0.521732
191,0.807135,0.522810
192,0.804905,0.522294
193,0.802676,0.523174
194,0.801561,0.524034
195,0.797101,0.523278
196,0.797101,0.524442
197,0.795987,0.525431
198,0.800446,0.525622
199,0.804905,0.525826
200,0.799331,0.524405
