round,accuracy,loss,train_loss,dissimilarity
0,0.070234,2.660541,,nan
1,0.263099,1.972225,0.37013072254226426,1.6332648679805375
2,0.321070,1.873067,0.6317709661332338,1.5569577529959606
3,0.326644,1.742265,0.4437445027908885,1.4823619505425893
4,0.364548,1.770902,0.589639926654122,1.2389032400397504
5,0.334448,1.768783,0.3299413007135439,1.1143015385402502
6,0.335563,1.708272,0.3827643429077433,1.0310534444155466
7,0.535117,1.267607,0.27592822276300205,1.2402083143199278
8,0.551839,1.234297,0.6732041358594019,1.1882985258456653
9,0.564103,1.213378,0.38281428301011716,1.0497059335850476
10,0.555184,1.274582,0.2941906009759146,0.9087388966205134
11,0.566332,1.261450,0.25357584298225344,0.8014377961171203
12,0.559643,1.213273,0.5226835728998309,1.6060964480064777
13,0.575251,1.182649,0.5601339400804094,0.8396676465469775
14,0.569677,1.203078,0.4818068630961534,1.2462610516806831
15,0.593088,1.169705,0.6534166171682255,1.0453289549013214
16,0.602007,1.178355,0.6646169933423998,1.0293830279579874
17,0.577480,1.177093,0.8126684483145371,1.523891993348321
18,0.570792,1.186736,0.2956155145117718,0.9450739056704663
19,0.579710,1.194161,0.5608256794462061,0.95996406496148
20,0.587514,1.221369,0.28095689689602754,0.8834942990733818
21,0.588629,1.233159,0.42401267485748306,0.9360347470035724
22,0.578595,1.220238,0.22631405823412507,1.117489937250071
23,0.590858,1.177928,0.6229282754309066,1.1909839658375556
24,0.580825,1.190179,0.7644847836867057,1.1737304214711033
25,0.576366,1.200473,0.2493795915730322,0.8933561584786722
26,0.583055,1.209040,0.3369455070916807,0.9401244877588337
27,0.590858,1.218304,0.5968744401412516,0.9623159542305132
28,0.607581,1.222016,0.6097390146376386,0.7678050610534006
29,0.608696,1.204645,0.2717780154506072,0.5986490397002798
30,0.605351,1.214682,0.2850156769625914,0.7679077237575873
31,0.612040,1.257598,0.6891364137486318,0.819384198908474
32,0.605351,1.238546,0.6530600311731309,1.2638686021758359
33,0.603122,1.175401,0.36856587309935357,0.9106089206676699
34,0.608696,1.234735,0.7649484628912078,0.7944334493059477
35,0.617614,1.194059,0.2557031820014587,0.7627215846521068
36,0.608696,1.182235,0.3995747627860377,0.836669237939389
37,0.612040,1.157117,0.7816732599685623,1.369100216145378
38,0.618729,1.185971,0.6940437735172361,0.7640628589784773
39,0.620959,1.186368,0.7789402107189995,1.091436554285669
40,0.612040,1.118891,0.35220199741265557,1.2148103401687034
41,0.614270,1.159838,0.6201395328946084,0.7699944538551611
42,0.615385,1.139583,0.2682258137946423,0.6703343702806137
43,0.614270,1.131968,0.2752201092446937,0.9238772721532955
44,0.647715,1.087874,0.550330797126903,1.2023649995519605
45,0.634337,1.074720,0.4494655820051314,1.0396525224058493
46,0.625418,1.115100,0.3480501030707076,0.8555251725922863
47,0.639911,1.153222,0.7100902868677689,1.0562108197289575
48,0.619844,1.088477,0.39051624131294826,1.0997325421434445
49,0.625418,1.110963,0.2832897485554038,1.0394772433930493
50,0.627648,1.097430,0.18157199448814337,0.588653966913415
51,0.624303,1.106829,0.6563939065298315,0.9207076525906545
52,0.629877,1.085409,0.4639965540624699,0.7585713144009505
53,0.629877,1.006503,0.6310122276418234,1.2435155727100335
54,0.630992,1.011869,0.27135588668002997,0.6018916163539573
55,0.628763,1.035479,0.8269756482446475,0.9354144273007196
56,0.623188,1.069653,0.3823744619653459,0.6057285600309781
57,0.619844,1.082392,0.3367783483070492,0.7223582150573999
58,0.619844,1.090396,0.374218814644868,0.9024796165543704
59,0.619844,1.063873,0.2872764726200238,0.9525596138969665
60,0.638796,1.078470,0.5433051621090473,0.7083779663354041
61,0.628763,1.074484,0.3657523843455712,0.7534487782030155
62,0.639911,1.093079,0.2088503107845875,0.7270348486732137
63,0.641026,1.059858,0.6297412978288597,1.04318866442919
64,0.622074,1.094621,0.7618572545605521,1.0317760438774537
65,0.620959,1.106043,0.32474144908284985,0.75798819078236
66,0.618729,1.099249,0.3054525119519176,0.8247018290787493
67,0.615385,1.087336,0.4752103870727928,0.9349038518283326
68,0.645485,1.080883,0.5894747811032223,0.9529498916190411
69,0.630992,1.059527,0.28882843428741756,0.7284397117947827
70,0.622074,1.093753,0.7051905515005673,0.890734634647151
71,0.622074,1.067558,0.23746981942028905,0.9856805369625967
72,0.644370,1.070294,0.7469499593878061,0.938874239953041
73,0.637681,1.085034,0.624890375434935,0.76349250081416
74,0.625418,1.075314,0.3377315116499987,0.9476448063317156
75,0.633222,1.104801,0.34832329358416203,0.8375264993761706
76,0.636566,1.065170,0.3810341439528454,1.0415557873875594
77,0.642140,1.050508,0.5264337038186838,0.7242062254490991
78,0.638796,1.078897,0.6704393181823214,0.720849893377292
79,0.633222,1.111800,0.5648250928852606,0.6804282808677392
80,0.630992,1.163093,0.2913448244927437,0.9809711622709006
81,0.638796,1.076587,0.6018492301880607,1.1611149502211395
82,0.618729,1.066857,0.4241771546247937,0.8617321044809652
83,0.615385,1.078824,0.3624904645830481,0.9485174115597185
84,0.619844,1.108167,0.6214931244513422,0.7550232225229969
85,0.617614,1.061331,0.736085870987728,1.3282700139266965
86,0.633222,1.037039,0.6560736824503035,1.0332340831694937
87,0.639911,1.057023,0.3721964692190665,0.7112506440520271
88,0.622074,1.043911,0.4067724436331912,1.1509555589720244
89,0.615385,1.067905,0.20938874237262498,0.6736534992535748
90,0.610925,1.096912,0.18646300877541422,0.5883069289718125
91,0.623188,1.079878,0.8815996022005269,1.3982489637753917
92,0.618729,1.126770,0.262019158499118,0.7929240096876344
93,0.618729,1.119676,0.18635959073655595,0.5721378107731624
94,0.620959,1.102717,0.4157708158251873,0.9950551698811186
95,0.620959,1.089148,0.647713379776391,1.059442338895191
96,0.634337,1.117070,0.7962890179370372,1.1406795645315364
97,0.623188,1.110449,0.2591236079181166,0.7569348904933326
98,0.614270,1.103428,0.17972750409896407,0.8305968012455978
99,0.614270,1.099628,0.7193165463523197,0.966746743379169
100,0.614270,1.080477,0.40224041516353815,1.0771642536668031
101,0.622074,1.103025,0.6140071603749472,0.8254224765705575
102,0.613155,1.136576,0.26305740783804765,0.7193725061805438
103,0.622074,1.107887,0.2621753447436298,1.121372861572536
104,0.639911,1.129536,0.31573985965086315,1.0127209027919013
105,0.645485,1.133398,0.4998089911927225,0.8234566180936338
106,0.643255,1.097182,0.4173415497508972,1.017869580779718
107,0.646600,1.112568,0.5788749439951706,0.6940776150591385
108,0.649944,1.134748,0.28082707518028915,0.679143189301125
109,0.662207,1.140747,0.5459852296437553,0.8240758047435759
110,0.657748,1.182925,0.3217545626945161,0.7131694981592713
111,0.654404,1.099475,0.31087662805619504,1.0311158155789144
112,0.641026,1.055901,0.8452799595860572,1.528214575646452
113,0.624303,1.109119,0.7682367404405198,0.8638786635018564
114,0.629877,1.093105,0.2458896659295595,0.5569887000975999
115,0.635452,1.018391,0.5801865204092869,1.165084645835659
116,0.626533,1.027540,0.3673660871784476,0.8837836967492252
117,0.632107,1.008876,0.3739736543755702,0.5841462742806323
118,0.656633,0.977273,0.5559505410298256,0.8864794484702312
119,0.659978,1.012527,0.6829029441075761,0.8995932685521215
120,0.659978,0.969355,0.5765503291868262,0.8723589974981828
121,0.645485,1.014646,0.23515589318498767,0.8248610709221869
122,0.645485,1.010971,0.26538005110470453,0.5780671154243057
123,0.653289,0.976551,0.8339307249470783,0.8059171012994298
124,0.643255,1.013302,0.6557646971925073,0.7067951574406796
125,0.648829,1.003436,0.4115760175228585,0.488981784220763
126,0.663322,1.052264,0.242889025357339,0.76198772542696
127,0.675585,1.055910,0.5362371828468577,0.7274379257637511
128,0.670011,1.031462,0.435809067080547,1.1678540229660086
129,0.667781,1.044665,0.29870356359413175,0.5459198208152675
130,0.655518,1.043147,0.41727187016424033,0.7915085998363305
131,0.657748,1.038053,0.5248420437442025,0.5704805594736401
132,0.651059,1.000363,0.3454933222270789,0.6754501017780579
133,0.649944,0.955250,0.7888535820307253,1.3137445315302676
134,0.652174,0.978642,0.44498146074354633,1.02379449889897
135,0.654404,0.972030,0.6331134521051685,0.8249151263112788
136,0.657748,0.965607,0.7219349044839348,1.0860676875302961
137,0.647715,0.982895,0.362676104060033,0.9239693947664581
138,0.642140,0.965411,0.5696279201454334,0.6719661174917664
139,0.647715,0.987093,0.7768370895722574,1.05374425885245
140,0.637681,0.992145,0.16993525785842778,0.6120322779420766
141,0.630992,1.013180,0.5910523922200841,0.7307331197277604
