round,accuracy,loss
0,0.060307,2.557823
1,0.130482,2.517961
2,0.473684,1.662447
3,0.532895,1.433506
4,0.539474,1.432555
5,0.544956,1.573501
6,0.541667,1.701420
7,0.540570,1.627266
8,0.554825,1.680228
9,0.552632,1.765284
10,0.596491,1.602091
11,0.614035,1.543963
12,0.605263,1.519796
13,0.606360,1.521346
14,0.606360,1.501831
15,0.608553,1.481725
16,0.623904,1.476000
17,0.619518,1.570563
18,0.601974,1.568334
19,0.610746,1.545213
20,0.603070,1.505307
21,0.618421,1.409743
22,0.626096,1.350223
23,0.655702,1.358810
24,0.654605,1.470451
25,0.650219,1.555744
26,0.644737,1.494001
27,0.635965,1.567809
28,0.612939,1.548047
29,0.640351,1.559281
30,0.626096,1.514256
31,0.643640,1.578136
32,0.634868,1.518902
33,0.637061,1.519643
34,0.650219,1.568456
35,0.649123,1.530559
36,0.661184,1.455342
37,0.639254,1.408493
38,0.654605,1.486665
39,0.641447,1.461142
40,0.621711,1.421569
41,0.618421,1.411572
42,0.652412,1.440321
43,0.649123,1.536686
44,0.652412,1.423033
45,0.649123,1.401327
46,0.621711,1.367957
47,0.621711,1.314899
48,0.628289,1.294857
49,0.617325,1.305252
50,0.612939,1.346185
51,0.606360,1.410067
52,0.610746,1.409044
53,0.629386,1.352919
54,0.628289,1.324319
55,0.634868,1.323372
56,0.635965,1.358187
57,0.653509,1.204800
58,0.665570,1.306118
59,0.661184,1.398561
60,0.635965,1.338113
61,0.618421,1.344159
62,0.627193,1.274907
63,0.661184,1.333868
64,0.658991,1.300380
65,0.650219,1.251946
66,0.645833,1.248829
67,0.661184,1.344053
68,0.657895,1.291912
69,0.665570,1.265780
70,0.658991,1.231622
71,0.662281,1.332639
72,0.657895,1.425241
73,0.656798,1.385846
74,0.658991,1.333539
75,0.642544,1.313465
76,0.668860,1.337437
77,0.635965,1.317810
78,0.629386,1.311576
79,0.651316,1.343391
80,0.630482,1.369545
81,0.634868,1.301588
82,0.628289,1.362016
83,0.663377,1.290456
84,0.667763,1.385470
85,0.656798,1.355010
86,0.654605,1.444142
87,0.642544,1.401553
88,0.660088,1.447149
89,0.654605,1.510524
90,0.631579,1.485934
91,0.642544,1.446147
92,0.627193,1.421763
93,0.628289,1.414959
94,0.635965,1.360165
95,0.641447,1.366374
96,0.656798,1.351106
97,0.648026,1.326857
98,0.639254,1.313477
99,0.639254,1.306688
100,0.623904,1.311061
101,0.621711,1.329143
102,0.628289,1.285934
103,0.628289,1.314540
104,0.634868,1.322791
105,0.618421,1.330817
106,0.632675,1.352707
107,0.632675,1.418943
108,0.638158,1.417474
109,0.674342,1.154792
110,0.688596,1.134356
111,0.664474,1.104773
112,0.687500,1.207104
113,0.676535,1.289845
114,0.671053,1.384153
115,0.654605,1.328497
116,0.634868,1.343891
117,0.651316,1.294656
118,0.650219,1.278449
119,0.677632,1.323111
120,0.634868,1.305129
121,0.619518,1.355913
122,0.622807,1.360955
123,0.655702,1.298061
124,0.654605,1.386073
125,0.639254,1.364778
126,0.627193,1.333339
127,0.625000,1.300927
128,0.622807,1.334257
129,0.630482,1.294811
130,0.663377,1.270796
131,0.651316,1.235923
132,0.653509,1.328891
133,0.648026,1.287319
134,0.660088,1.372913
135,0.657895,1.443598
136,0.642544,1.488448
137,0.640351,1.459330
138,0.625000,1.486356
139,0.642544,1.448416
140,0.625000,1.520768
141,0.662281,1.450638
142,0.663377,1.401299
143,0.664474,1.311403
144,0.652412,1.441949
145,0.646930,1.503563
146,0.628289,1.558168
147,0.634868,1.602971
148,0.633772,1.550931
149,0.623904,1.613144
150,0.618421,1.657608
151,0.620614,1.612306
152,0.625000,1.556564
153,0.610746,1.594287
154,0.623904,1.571928
155,0.627193,1.470268
156,0.639254,1.387640
157,0.639254,1.459385
158,0.641447,1.525053
159,0.635965,1.449610
160,0.621711,1.462919
161,0.625000,1.482341
162,0.617325,1.486378
163,0.612939,1.502982
164,0.639254,1.381241
165,0.627193,1.348154
166,0.626096,1.323129
167,0.630482,1.406748
168,0.641447,1.393138
169,0.633772,1.414209
170,0.644737,1.427486
171,0.648026,1.431827
172,0.657895,1.188246
173,0.664474,1.286849
174,0.675439,1.238127
175,0.628289,1.272734
176,0.625000,1.295855
177,0.620614,1.290194
178,0.628289,1.273816
179,0.631579,1.331325
180,0.648026,1.181432
181,0.665570,1.278073
182,0.635965,1.249174
183,0.633772,1.215554
184,0.622807,1.284572
185,0.645833,1.213053
186,0.645833,1.312839
187,0.629386,1.337435
188,0.628289,1.387767
189,0.629386,1.414584
190,0.627193,1.421272
191,0.662281,1.291344
192,0.666667,1.393110
193,0.664474,1.380480
194,0.643640,1.263541
195,0.629386,1.255716
196,0.653509,1.336603
197,0.652412,1.420951
198,0.622807,1.405068
199,0.614035,1.419698
200,0.607456,1.410514
